_TRI_FACILITY_EZ.TRI_FACILITY_ID,V_TRI_FACILITY_EZ.FACILITY_NAME,V_TRI_FACILITY_EZ.STREET_ADDRESS,V_TRI_FACILITY_EZ.CITY_NAME,V_TRI_FACILITY_EZ.COUNTY_NAME,V_TRI_FACILITY_EZ.STATE_COUNTY_FIPS_CODE,V_TRI_FACILITY_EZ.STATE_ABBR,V_TRI_FACILITY_EZ.ZIP_CODE,V_TRI_FACILITY_EZ.REGION,V_TRI_FACILITY_EZ.FAC_CLOSED_IND,V_TRI_FACILITY_EZ.MAIL_NAME,V_TRI_FACILITY_EZ.MAIL_STREET_ADDRESS,V_TRI_FACILITY_EZ.MAIL_CITY,V_TRI_FACILITY_EZ.MAIL_STATE_ABBR,V_TRI_FACILITY_EZ.MAIL_COUNTRY,V_TRI_FACILITY_EZ.MAIL_ZIP_CODE,V_TRI_FACILITY_EZ.ASGN_AGENCY,V_TRI_FACILITY_EZ.ASGN_FEDERAL_IND,V_TRI_FACILITY_EZ.PARENT_CO_DB_NUM,V_TRI_FACILITY_EZ.PARENT_CO_NAME,V_TRI_FACILITY_EZ.STANDARDIZED_PARENT_COMPANY,V_TRI_FACILITY_EZ.ASGN_PARTIAL_IND,V_TRI_FACILITY_EZ.ASGN_PUBLIC_CONTACT,V_TRI_FACILITY_EZ.ASGN_PUBLIC_PHONE,V_TRI_FACILITY_EZ.ASGN_PUBLIC_CONTACT_EMAIL,V_TRI_FACILITY_EZ.REGISTRY_ID,V_TRI_FACILITY_EZ.ASGN_PUBLIC_PHONE_EXT,V_TRI_FACILITY_EZ.LATITUDE,V_TRI_FACILITY_EZ.LONGITUDE,V_TRI_FACILITY_EZ.REF_POINT_DESC,V_TRI_FACILITY_EZ.REF_POINT_CODE,V_TRI_FACILITY_EZ.COLLECT_DESC,V_TRI_FACILITY_EZ.COLLECT_MTH_CODE,V_TRI_FACILITY_EZ.ACCURACY_VALUE,V_TRI_FACILITY_EZ.ACCURACY_SCORE,V_TRI_FACILITY_EZ.HDATUM_DESC,V_TRI_FACILITY_EZ.SCALE,V_TRI_FACILITY_EZ.SOURCE_DESC,V_TRI_FACILITY_EZ.SOURCE_CODE,V_TRI_FACILITY_EZ.CONVEYOR,V_TRI_FACILITY_EZ.BIA_CODE,V_TRI_FACILITY_EZ.TRIBE
60632CPTLM3801W,CAPITOL MANUFACTURING CHICAGO FACILITY,3801 W 44TH ST,CHICAGO,COOK,17031,IL,60632,5,0,CAPITOL MANUFACTURING CHICAGO FACILITY,3801 W 44TH ST,CHICAGO,IL,,60632,,C,3002268,HARSCO CORP,,0,,,,1.1E+11,,41.81341,-87.71957,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60622MTRLS900NP,MATERIAL SERVICE CORP  YARD 1,901 N SANGAMON ST,CHICAGO,COOK,17031,IL,60622,5,1,MATERIAL SERVICE CORP.  YARD 1,4226 S. LAWNDALE,LYONS,IL,,60534,,C,1381284,GENERAL DYNAMICS CORP,,0,FRANK WERDERITSCH,7084424601,,1.1001E+11,,41.89818,-87.651925,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,,82,FRS-TRIS,,
60632BRKSH4950S,BERKSHIRE FURNITURE INC,4950 S KILBOURN AVE,CHICAGO,COOK,17031,IL,60632,5,1,BERKSHIRE FURNITURE INC,4950 S KILBOURN AVE,CHICAGO,IL,,60632,,C,7140064,LEGGETT & PLATT INC,,0,BOHDAN BRODYCZ,3127677002,,1.10001E+11,,41.80301,-87.73566,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
6063WNDPND6226W,INDEPENDENCE TUBE C,6226 W 74TH ST,CHICAGO,COOK,17031,IL,60638,5,0,INDEPENDENCE TUBE C,6226 W 74TH ST,CHICAGO,IL,,60638,,C,3446796,NUCOR CORP,NUCOR CORP,0,TOM MILLER,7049437037,TOM.MILLER@NUCOR.COM,1.10018E+11,,41.75769,-87.7738,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
60608MDWST1414S,MIDWEST FOLDING PRODUCTS,1414 S WESTERN AVE,CHICAGO,COOK,17031,IL,60608,5,0,MIDWEST FOLDING PRODUCTS,1414 S WESTERN AVE,CHICAGO,IL,,60608,,C,128836661,SAGUS INTERNATIONAL,,0,PATRICK MITSUUCHI-STORK,3127774933,,1.10002E+11,,41.862236,-87.686898,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,,17,FRS-TRIS,,
60617LTVST11600,LTV STEEL COMPANY,11600 S BURLEY AVENUE,CHICAGO,COOK,17031,IL,60617,5,0,LTV STEEL COMPANY,11600 S BURLEY AVENUE,CHICAGO,IL,,60617,,C,112594213,LTV STEEL CO INC,,0,LARRY SZUHAY,2166427173,,1.10039E+11,,41.69125,-87.54778,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,99999999,NAD83,,,,FRS-TRIS,,
60609CDPRD6W41S,ACID PRODUCTS CO INC,600 W 41ST ST,CHICAGO,COOK,17031,IL,60609,5,0,ACID PRODUCTS CO INC,600 W 41ST ST,CHICAGO,IL,,60609,,C,148314503,ACID PRODUCTS CO INC,ACID PRODUCTS CO INC,0,DAWN BROWNLEE,2195752862,DAWN.BROWNLEE@ACIDPRODUCTS.NET,1.10003E+11,,41.820978,-87.641595,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,20,NAD83,12000,,17,EIS,,
60630CMPRN1419W,INX INTERNATIONAL INK CO,1419 W CARROLL AVE,CHICAGO,COOK,17031,IL,60607,5,1,INX INTERNATIONAL INK CO,1419 W CARROLL AVE,CHICAGO,IL,,60607,,C,51065035,THE INX GROUP LTD,,0,KEVIN FACKLAM,8479699747,,1.1E+11,,41.88744,-87.66339,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60607CLMTH12139,CALUMET HEAT TREATING CORPORATION,12139 SOUTH PEORIA ST,CHICAGO,COOK,17031,IL,60643,5,0,CALUMET HEAT TREATING CORPORATION,12139 SOUTH PEORIA ST,CHICAGO,IL,,60643,,C,NA,No US Parent,,0,ROBERT W RAFF,3129283242,,1.10002E+11,,41.67292,-87.64417,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,,82,FRS-TRIS,,
60641HNTSC4117N,HUNT SCREW & MANUFACTURING CORP,4117 N KILPATRICK,CHICAGO,COOK,17031,IL,60641,5,0,HUNT SCREW & MANUFACTURING CORP,4117 N KILPATRICK,CHICAGO,IL,,60641,,C,NA,No US Parent,,0,FRANK KOLODZIEJCYK,3122836900,,1.10002E+11,,41.95613,-87.74565,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,,82,FRS-GEOCODE,,
